Domain Name,Domain Type,Agency,City,State
electronic4you.at,Österreichisches E-Commerce-Gütezeichen,electronic4you GmbH,,
energiepflanzen.com,Österreichisches E-Commerce-Gütezeichen,energiepflanzen.com; Reinhard Sperr,,
ergodirekt.at,Österreichisches E-Commerce-Gütezeichen,ERGO Versicherung AG,,
e-tec.at,Österreichisches E-Commerce-Gütezeichen,e-tec electronic GmbH,,
eti.at,Österreichisches E-Commerce-Gütezeichen,ETI Express Travel International GmbH,,
europaeische.at,Österreichisches E-Commerce-Gütezeichen,Europäische Reiseversicherung AG,,
eventlights.at,Österreichisches E-Commerce-Gütezeichen,Eventlights Austria Thomas Gattinger,,
everbill.com,Österreichisches E-Commerce-Gütezeichen,everbill GmbH,,
expert.at,Österreichisches E-Commerce-Gütezeichen,EXPERT Österreich e. Gen.,,
expondo.at,Österreichisches E-Commerce-Gütezeichen,expondo GmbH,,
extrasauber.at,Österreichisches E-Commerce-Gütezeichen,Extrafrei GmbH,,
fahrradfinden.at,Österreichisches E-Commerce-Gütezeichen,Klaus Sever,,
fairplane.de,Österreichisches E-Commerce-Gütezeichen,FP Passenger Service GmbH,,
fell-shop.com,Österreichisches E-Commerce-Gütezeichen,Der Fellhof VertriebsGmbH,,
fireshop.at,Österreichisches E-Commerce-Gütezeichen,Fireshop.at,,
firmenbuchgrundbuch.at,Österreichisches E-Commerce-Gütezeichen,HF Data Datenverarbeitungsges.m.b.H.,,
fitstore24.com,Österreichisches E-Commerce-Gütezeichen,Fitstore24 ZANIER GmbH,,
flammentopf.at,Österreichisches E-Commerce-Gütezeichen,Flammentopf e.U.,,
fliegfix.com,Österreichisches E-Commerce-Gütezeichen,Outzeit GmbH,,
futterkisterl-tirol.at,Österreichisches E-Commerce-Gütezeichen,Shoppingworld 4 Animals,,
future-x.at,Österreichisches E-Commerce-Gütezeichen,Future-X Software GmbH,,
gameware.at,Österreichisches E-Commerce-Gütezeichen,Gameware KG,,
gartenxxl.at,Österreichisches E-Commerce-Gütezeichen,Tengelmann E-Stores GmbH,,
gastro-star.at,Österreichisches E-Commerce-Gütezeichen,Gastrostar GmbH,,
gebrueder-goetz.at,Österreichisches E-Commerce-Gütezeichen,Gebrueder-Goetz,,
gelaenderladen.at,Österreichisches E-Commerce-Gütezeichen,Räckesbutiken Sweden AB,,
gesund-schlafen.at,Österreichisches E-Commerce-Gütezeichen,Wolfgang Reingruber,,
glueckspilze.at,Österreichisches E-Commerce-Gütezeichen,Mushroom Production Center GmbH,,
gpticketshop.com,Österreichisches E-Commerce-Gütezeichen,Alfred Ostermann GmbH,,
greenrocket.com,Österreichisches E-Commerce-Gütezeichen,GREEN ROCKET GmbH,,
grillco.at,Österreichisches E-Commerce-Gütezeichen,GRILL&Co GmbH,,
griller-shop.at,Österreichisches E-Commerce-Gütezeichen,Griller-Shop Kovalcik Michael GmbH,,
grillshop.at,Österreichisches E-Commerce-Gütezeichen,Madlener GmbH,,
groundline.com,Österreichisches E-Commerce-Gütezeichen,Kratochwill Peter,,
guetezeichen.at,Österreichisches E-Commerce-Gütezeichen,Österreichisches E-Commerce-Gütezeichen,,
gulet.at,Österreichisches E-Commerce-Gütezeichen,TUI Austria Holding GmbH,,
gurtband.at,Österreichisches E-Commerce-Gütezeichen,Phebee's Streetwear e.U.,,
gutscheine.casinos.at,Österreichisches E-Commerce-Gütezeichen,Casinos Austria AG,,
habhunger.at,Österreichisches E-Commerce-Gütezeichen,Sinkofi OG,,
haengematten-outlet.at,Österreichisches E-Commerce-Gütezeichen,Hängematten-Outlet,,
haengemattenshop.com,Österreichisches E-Commerce-Gütezeichen,Hängemattenshop,,
happygrill.de,Österreichisches E-Commerce-Gütezeichen,Madlener GmbH,,
harrer.at,Österreichisches E-Commerce-Gütezeichen,Vinzenz Harrer GmbH,,
haude.at,Österreichisches E-Commerce-Gütezeichen,Haude electronica Verlags-GmbH,,
haus-der-sprachen.at,Österreichisches E-Commerce-Gütezeichen,e8 medien marketing e.U.,,
hdaustria.at,Österreichisches E-Commerce-Gütezeichen,M7 Group S.A.,,
helishopvienna.at,Österreichisches E-Commerce-Gütezeichen,EKo-Trade,,
hornbach.at,Österreichisches E-Commerce-Gütezeichen,Hornbach Baumarkt GmbH,,
hotdomains.at,Österreichisches E-Commerce-Gütezeichen,Hotdomains Internet Service,,
