Domain Name,Domain Type,Agency,City,State
lichtfuermich.at,Österreichisches E-Commerce-Gütezeichen,Elektrotechnik Tamas Lagler,,
stromdiskont.at,Österreichisches E-Commerce-Gütezeichen,ENAMO Ökostrom GmbH,,
energiepflanzen.com,Österreichisches E-Commerce-Gütezeichen,energiepflanzen.com; Reinhard Sperr,,
ergodirekt.at,Österreichisches E-Commerce-Gütezeichen,ERGO Versicherung AG,,
eti.at,Österreichisches E-Commerce-Gütezeichen,ETI Express Travel International GmbH,,
europaeische.at,Österreichisches E-Commerce-Gütezeichen,Europäische Reiseversicherung AG,,
eventlights.at,Österreichisches E-Commerce-Gütezeichen,Eventlights Austria Thomas Gattinger,,
everbill.com,Österreichisches E-Commerce-Gütezeichen,everbill GmbH,,
expert.at,Österreichisches E-Commerce-Gütezeichen,EXPERT Österreich e. Gen.,,
expondo.at,Österreichisches E-Commerce-Gütezeichen,expondo GmbH,,
extrasauber.at,Österreichisches E-Commerce-Gütezeichen,Extrafrei GmbH,,
fireshop.at,Österreichisches E-Commerce-Gütezeichen,Fireshop.at,,
fitstore24.com,Österreichisches E-Commerce-Gütezeichen,Fitstore24 ZANIER GmbH,,
flammentopf.at,Österreichisches E-Commerce-Gütezeichen,Flammentopf e.U.,,
sportworkshop.at,Österreichisches E-Commerce-Gütezeichen,Flexyfit Plus GmbH,,
fairplane.de,Österreichisches E-Commerce-Gütezeichen,FP Passenger Service GmbH,,
shop.frankeleuchten.at,Österreichisches E-Commerce-Gütezeichen,Franke Leuchten GmbH,,
shop.fujitsu.com,Österreichisches E-Commerce-Gütezeichen,Fujitsu Technology Solutions GmbH,,
future-x.at,Österreichisches E-Commerce-Gütezeichen,Future-X Software GmbH,,
viennagold.at,Österreichisches E-Commerce-Gütezeichen,G. Günsberg Handels-GmbH.,,
gameware.at,Österreichisches E-Commerce-Gütezeichen,Gameware KG,,
gastro-star.at,Österreichisches E-Commerce-Gütezeichen,Gastrostar GmbH,,
gebrueder-goetz.at,Österreichisches E-Commerce-Gütezeichen,Gebrueder-Goetz,,
obereder.info,Österreichisches E-Commerce-Gütezeichen,GEORG OBEREDER E.U.,,
smart-booking.at,Österreichisches E-Commerce-Gütezeichen,Gerstner Catering Betriebs GmbH,,
italshop.at,Österreichisches E-Commerce-Gütezeichen,GlaserItalia GmbH,,
greenrocket.com,Österreichisches E-Commerce-Gütezeichen,GREEN ROCKET GmbH,,
grillco.at,Österreichisches E-Commerce-Gütezeichen,GRILL&Co GmbH,,
griller-shop.at,Österreichisches E-Commerce-Gütezeichen,Griller-Shop Kovalcik Michael GmbH,,
sanicare.at,Österreichisches E-Commerce-Gütezeichen,Hammerschmiedt Sanicare-Service,,
haengematten-outlet.at,Österreichisches E-Commerce-Gütezeichen,Hängematten-Outlet,,
haengemattenshop.com,Österreichisches E-Commerce-Gütezeichen,Hängemattenshop,,
aquaristikshop.de,Österreichisches E-Commerce-Gütezeichen,Happy Diskus,,
haude.at,Österreichisches E-Commerce-Gütezeichen,Haude electronica Verlags-GmbH,,
firmenbuchgrundbuch.at,Österreichisches E-Commerce-Gütezeichen,HF Data Datenverarbeitungsges.m.b.H.,,
top-elektronik.at,Österreichisches E-Commerce-Gütezeichen,Hifi-D.e.s.i.g.n. Handelsunternehmen OGmen OG,,
wohlfuehlshop.at,Österreichisches E-Commerce-Gütezeichen,Holistic Business Excellence,,
hornbach.at,Österreichisches E-Commerce-Gütezeichen,Hornbach Baumarkt GmbH,,
colgoto.com,Österreichisches E-Commerce-Gütezeichen,Hosiery GmbH,,
hotdomains.at,Österreichisches E-Commerce-Gütezeichen,Hotdomains Internet Service,,
hoxami.com,Österreichisches E-Commerce-Gütezeichen,hoxami.com Marketing & Vertrieb GmbH,,
we-are.travel,Österreichisches E-Commerce-Gütezeichen,hoxami.com Marketing & Vertrieb GmbH,,
atte.at,Österreichisches E-Commerce-Gütezeichen,Humann OEG,,
hungaroinfo.com,Österreichisches E-Commerce-Gütezeichen,Hungarotickets GmbH,,
drei.at,Österreichisches E-Commerce-Gütezeichen,Hutchison Drei Austria GmbH,,
i-move.at,Österreichisches E-Commerce-Gütezeichen,i-move internet GmbH,,
ihp-fitness.at,Österreichisches E-Commerce-Gütezeichen,IHP - Ihr HandelsPartner GmbH & Co. KG,,
ihp24.at,Österreichisches E-Commerce-Gütezeichen,IHP Ihr HandelsPartner GmbH & Co KG,,
moebel-garten.at,Österreichisches E-Commerce-Gütezeichen,IHP Ihr HandelsPartner GmbH & Co KG,,
creditnet.at,Österreichisches E-Commerce-Gütezeichen,Immoinvest Immobilien & Finanzierungen GmbH,,
ing-diba.at,Österreichisches E-Commerce-Gütezeichen,Ing DiBa Direktbank Austria,,
kraker.at,Österreichisches E-Commerce-Gütezeichen,Ing. Arnulf Kraker Eisenwarenhandel,,
tonsus.at,Österreichisches E-Commerce-Gütezeichen,Ing. Christian Weishäupl,,
schreck.at,Österreichisches E-Commerce-Gütezeichen,Ing. Erich Schreck e. U.,,
comrade.net,Österreichisches E-Commerce-Gütezeichen,Inh. Ratzinger Michael (COMRADE),,
interspar.at,Österreichisches E-Commerce-Gütezeichen,INTERSPAR GmbH,,
weinwelt.at,Österreichisches E-Commerce-Gütezeichen,INTERSPAR GmbH,,
ipax.at,Österreichisches E-Commerce-Gütezeichen,IPAX OG,,
issp.at,Österreichisches E-Commerce-Gütezeichen,issp e.U.,,
iv-shop.at,Österreichisches E-Commerce-Gütezeichen,Ivellio-Vellin professionelle IT-Lösungen e.U.,,
wineforum.co.at,Österreichisches E-Commerce-Gütezeichen,J. BÖHM KG,,
secur-id.net,Österreichisches E-Commerce-Gütezeichen,J. Rosen Consulting KG,,
joe24.at,Österreichisches E-Commerce-Gütezeichen,Joe24.at GmbH,,
jomafashion.at,Österreichisches E-Commerce-Gütezeichen,JOMA-FASHION CONCEPT STORE,,
josbinder.at,Österreichisches E-Commerce-Gütezeichen,Jos. Binder - Ilse Lukavsky GmbH,,
jumbograshecke.com,Österreichisches E-Commerce-Gütezeichen,jumbograshecke.com; Reinhard Sperr,,
di-life.at,Österreichisches E-Commerce-Gütezeichen,JÜMI Handels GmbH,,
kaiserkraft.at,Österreichisches E-Commerce-Gütezeichen,KAISER+KRAFT GmbH,,
shop.stn.an,Österreichisches E-Commerce-Gütezeichen,Karl Schwarz,,
kausan.com,Österreichisches E-Commerce-Gütezeichen,Kausan Dr. Kaufhold GmbH,,
kika.at,Österreichisches E-Commerce-Gütezeichen,kika Möbelhandels Ges.m.b.H.,,
kinderkistl.com,Österreichisches E-Commerce-Gütezeichen,Kinderkistl Vertriebs- und Vermarktungs GmbH,,
rechnungen.at,Österreichisches E-Commerce-Gütezeichen,KingBill GmbH,,
schluesselbox.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
tkm-madzar.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
schluesseltresor.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
schluesselmanagement.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
schluesseldepot.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
fahrradfinden.at,Österreichisches E-Commerce-Gütezeichen,Klaus Sever,,
groundline.com,Österreichisches E-Commerce-Gütezeichen,Kratochwill Peter,,
ktt-heizungen.at,Österreichisches E-Commerce-Gütezeichen,KTT Ing. Mag. Josef Lurger,,
lecturize.com,Österreichisches E-Commerce-Gütezeichen,Lecturize OG,,
leder-deluxe.com,Österreichisches E-Commerce-Gütezeichen,Leder-Deluxe,,
servusapotheke.at,Österreichisches E-Commerce-Gütezeichen,Lekáreň “Servus Apotheke“ s.r.o. (entspricht GmbH),,
mylemon.at,Österreichisches E-Commerce-Gütezeichen,Lemon Technologies GmbH,,
leditburn.com,Österreichisches E-Commerce-Gütezeichen,Logirent GmbH,,
stiege.com,Österreichisches E-Commerce-Gütezeichen,Lugo Treppenrenovierungen,,
msport.at,Österreichisches E-Commerce-Gütezeichen,M-Sport GmbH,,
hdaustria.at,Österreichisches E-Commerce-Gütezeichen,M7 Group S.A.,,
grillshop.at,Österreichisches E-Commerce-Gütezeichen,Madlener GmbH,,
happygrill.de,Österreichisches E-Commerce-Gütezeichen,Madlener GmbH,,
sonnenschirme.at,Österreichisches E-Commerce-Gütezeichen,Mag. Martin Gogl,,
premium-guards.at,Österreichisches E-Commerce-Gütezeichen,Mag. Petra Müller,,
1net.at,Österreichisches E-Commerce-Gütezeichen,Mag. Robert Wrabl,,
net-fit.at,Österreichisches E-Commerce-Gütezeichen,Margaritella Fitness & Sporternährung GmbH,,
marketagent.com,Österreichisches E-Commerce-Gütezeichen,Marketagent.com online reSEARCH GmbH,,
mm-community.com,Österreichisches E-Commerce-Gütezeichen,Mayr-Melnhof Karton Ges. m.b.H.,,
meinnupo.at,Österreichisches E-Commerce-Gütezeichen,MCA Handels GmbH,,
medewo.com,Österreichisches E-Commerce-Gütezeichen,Medewo GmbH,,
mediaforte.eu,Österreichisches E-Commerce-Gütezeichen,Mediaforte GmbH,,
megavitalshop.com,Österreichisches E-Commerce-Gütezeichen,Mega Vital Shop e.K.,,
sprit.org,Österreichisches E-Commerce-Gütezeichen,MELON Informationstechnologie GmbH.,,
mercateo.at,Österreichisches E-Commerce-Gütezeichen,Mercateo Austria GmbH,,
briefmarkenshop.at,Österreichisches E-Commerce-Gütezeichen,Merkurphila GmbH,,
vds-online.at,Österreichisches E-Commerce-Gütezeichen,Michael Vavra,,
Radladen.at,Österreichisches E-Commerce-Gütezeichen,Michi's Radladen,,
mietski.com,Österreichisches E-Commerce-Gütezeichen,MIETSKI.COM GMBH,,
o-look24.com,Österreichisches E-Commerce-Gütezeichen,Miller Optik GmbH,,
mindtake.com,Österreichisches E-Commerce-Gütezeichen,MindTake Research GmbH,,
mobilestar.at,Österreichisches E-Commerce-Gütezeichen,Mobilestar OG,,
shop.lindinger.at,Österreichisches E-Commerce-Gütezeichen,Modellbau Lindinger GmbH,,
ebags.mondigroup.com,Österreichisches E-Commerce-Gütezeichen,Mondi Industrial Bags GmbH,,
lamda.eu,Österreichisches E-Commerce-Gütezeichen,Montares e.U.,,
tee-shop.at,Österreichisches E-Commerce-Gütezeichen,Moses; Inhaber Harald Moosbrugger,,
mpay24.com,Österreichisches E-Commerce-Gütezeichen,mPAY24 GmbH,,
mts-shop.eu,Österreichisches E-Commerce-Gütezeichen,MTS-Shop. EU Modern Systems Trading GmbH,,
glueckspilze.at,Österreichisches E-Commerce-Gütezeichen,Mushroom Production Center GmbH,,
mymint-shop.com,Österreichisches E-Commerce-Gütezeichen,MY MINT,,
myrobotcenter.at,Österreichisches E-Commerce-Gütezeichen,myRobotcenter GmbH,,
mytrendyphone.at,Österreichisches E-Commerce-Gütezeichen,MyTrendyPhone.at GmbH,,
neckermann.at,Österreichisches E-Commerce-Gütezeichen,neckermann.at GmbH,,
neo-lernhilfen.at,Österreichisches E-Commerce-Gütezeichen,neo Lernhilfen OG,,
mysterysurfer.at,Österreichisches E-Commerce-Gütezeichen,Networkpro Management Consulting,,
neuhold-elektronik.at,Österreichisches E-Commerce-Gütezeichen,Neuhold Elektronik,,
neunweine.at,Österreichisches E-Commerce-Gütezeichen,Neun Weine GmbH,,
shisha-palace.at,Österreichisches E-Commerce-Gütezeichen,nextro GmbH,,
notebooksbilliger.at,Österreichisches E-Commerce-Gütezeichen,Notebooksbilliger.at,,
oiat.at,Österreichisches E-Commerce-Gütezeichen,ÖIAT,,
ok4you-shop.com,Österreichisches E-Commerce-Gütezeichen,ok4you GmbH,,
onlineprinters.com,Österreichisches E-Commerce-Gütezeichen,Onlineprinters GmbH,,
opinions.at,Österreichisches E-Commerce-Gütezeichen,OOP Opinions Online Panelservice GmbH,,
optimafinanz.at,Österreichisches E-Commerce-Gütezeichen,Optimafinanz Vermögensberatung G.m.b.H,,
guetezeichen.at,Österreichisches E-Commerce-Gütezeichen,Österreichisches E-Commerce-Gütezeichen,,
onlineshop-oetscher.com,Österreichisches E-Commerce-Gütezeichen,Ötscher Berufskleidung Götzl GmbH,,
ottoversand.at,Österreichisches E-Commerce-Gütezeichen,Otto GmbH,,
fliegfix.com,Österreichisches E-Commerce-Gütezeichen,Outzeit GmbH,,
paladinostore.com,Österreichisches E-Commerce-Gütezeichen,paladino media GmbH,,
palmers.at,Österreichisches E-Commerce-Gütezeichen,Palmers Textil AG,,
douglas.at,Österreichisches E-Commerce-Gütezeichen,Parfümerie Douglas GmbH,,
parkett-agentur.at,Österreichisches E-Commerce-Gütezeichen,parkett-AGENTUR GmbH,,
parketthaus.at,Österreichisches E-Commerce-Gütezeichen,Parketthaus Kamper & Kamper GmbH,,
paybox.at,Österreichisches E-Commerce-Gütezeichen,paybox Bank AG,,
onlineaufladen.at,Österreichisches E-Commerce-Gütezeichen,Paybox Service GmbH,,
payolution.com,Österreichisches E-Commerce-Gütezeichen,payolution GmbH,,
skrilldirect.com,Österreichisches E-Commerce-Gütezeichen,payolution GmbH,,
pcp.ch,Österreichisches E-Commerce-Gütezeichen,PCP.CH AG,,
gurtband.at,Österreichisches E-Commerce-Gütezeichen,Phebee's Streetwear e.U.,,
shop.phebee.at,Österreichisches E-Commerce-Gütezeichen,Phebee's Streetwear e.U.,,
schweisser-shop.at,Österreichisches E-Commerce-Gütezeichen,Pöllhuber Schweiss-Service Austria,,
weingrube.com,Österreichisches E-Commerce-Gütezeichen,Pöltl & Partner KG,,
shoepping.at,Österreichisches E-Commerce-Gütezeichen,Post E-Commerce GmbH,,
1ashop.at,Österreichisches E-Commerce-Gütezeichen,Primus office products GmbH,,
brands4friends.at,Österreichisches E-Commerce-Gütezeichen,Private Sale GmbH,,
beamer.at,Österreichisches E-Commerce-Gütezeichen,projektor.at Präsentationstechnik GmbH,,
propago.at,Österreichisches E-Commerce-Gütezeichen,Propago e.U. - Benjamin Flatz,,
store.radsportszene.at,Österreichisches E-Commerce-Gütezeichen,proRAD KG,,
quelle.at,Österreichisches E-Commerce-Gütezeichen,QUELLE GmbH,,
quelle.ch,Österreichisches E-Commerce-Gütezeichen,Quelle Vertriebs AG,,
gelaenderladen.at,Österreichisches E-Commerce-Gütezeichen,Räckesbutiken Sweden AB,,
rausch-packaging.com,Österreichisches E-Commerce-Gütezeichen,RAUSCH Packaging - ein Bereich der MEDEWO GmbH,,
redcoon.at,Österreichisches E-Commerce-Gütezeichen,redcoon GmbH,,
reifendiscount.at,Österreichisches E-Commerce-Gütezeichen,REIFF Reifen und Autotechnik GmbH,,
restplatzboerse.at,Österreichisches E-Commerce-Gütezeichen,Restplatzbörse Ges.m.b.H.,,
