# Source: Handelsverband Österreich | Austrian Retail Association, answered on 2016-12-06: https://www.handelsverband.at/mitglieder-partner/mitglieder/,,
peter-wagner.at,Handelsverband Österreich | Austrian Retail Association,Peter Wagner VertriebsgmbH,,
pfeiffer.at,Handelsverband Österreich | Austrian Retail Association,Pfeiffer HandelsgmbH,,
pierre-lang.at,Handelsverband Österreich | Austrian Retail Association,Pierre Lang Europe Handelsgesellschaft m.b.H.,,
proidee.at,Handelsverband Österreich | Austrian Retail Association,Pro Idee Catalog GmbH,,
quelle.at,Handelsverband Österreich | Austrian Retail Association,Quelle AG,,
radatz.at,Handelsverband Österreich | Austrian Retail Association,Radatz Fleischwaren Vertriebsges.m.b.H.,,
readersdigest.at,Handelsverband Österreich | Austrian Retail Association,Readers Digest Österreich Verlag Das Beste Ges.m.b.H,,
reinzeit.com,Handelsverband Österreich | Austrian Retail Association,ReinZeit HandelsGmbH,,
rewe-group.at,Handelsverband Österreich | Austrian Retail Association,REWE International AG,,
roma.at,Handelsverband Österreich | Austrian Retail Association,ROMA Friseurbedarf,,
rwa.at,Handelsverband Österreich | Austrian Retail Association,RWA Raiffeisen Ware Austria AG,,
www.salamander.at,Handelsverband Österreich | Austrian Retail Association,Salamander Austria GmbH,,
sport-thieme.at,Handelsverband Österreich | Austrian Retail Association,Sport Thieme GmbH,,
schaefer-shop.at,Handelsverband Österreich | Austrian Retail Association,SSI Schäfer Shop GesmbH,,
www.thalia.at,Handelsverband Österreich | Austrian Retail Association,Thalia Buch & Medien GesmbH,,
toysrus.at,Handelsverband Österreich | Austrian Retail Association,Toys R Us HandelsgesmbH,,
triumph.com,Handelsverband Österreich | Austrian Retail Association,Triumph International AG,,
tupperware.at,Handelsverband Österreich | Austrian Retail Association,Tupperware Österreich GesmbH,,
universal.at,Handelsverband Österreich | Austrian Retail Association,Universal Versand GmbH,,
vente-privee.com,Handelsverband Österreich | Austrian Retail Association,ventee-privee.com,,
voegele-shoes.com,Handelsverband Österreich | Austrian Retail Association,Vögele Shoes GmbH,,
vorwerk.at,Handelsverband Österreich | Austrian Retail Association,Vorwerk Austria GmbH + Co KG,,
walbusch.at,Handelsverband Österreich | Austrian Retail Association,WALBUSCH Walter Busch GmbH & Co KG,,
mywecos.com,Handelsverband Österreich | Austrian Retail Association,WECOS Cosmetics & Lifestyle GmbH,,
weinco.at,Handelsverband Österreich | Austrian Retail Association,Wein & Co HandelsgmbH,,
wellsana.com,Handelsverband Österreich | Austrian Retail Association,Wellsana Versand GmbH,,
weltbild.at,Handelsverband Österreich | Austrian Retail Association,Weltbild Verlag GmbH,,
westfalia-versand.at,Handelsverband Österreich | Austrian Retail Association,Westfalia Handels-GmbH,,
witt-weiden.at,Handelsverband Österreich | Austrian Retail Association,WITT Versandhandels GmbH,,
yves-rocher.at,Handelsverband Österreich | Austrian Retail Association,Yves Rocher GmbH,,
zalando.at,Handelsverband Österreich | Austrian Retail Association,Zalando SE,,
brieftaube.at,Handelsverband Österreich | Austrian Retail Association,Zur Brieftaube GmbH,,
